OpportunityID	PartyID	EmployeeID	SourceID	AdTypeID	StageID	StatusID	CategoryID	InterestedProduct	ExpectedValue	Location	FirstContactDate	NextFollowUpDate	LastContactDate	LostReasonID	LostNotes	Notes	Guidance	QuotationID	TransactionID	IsActive	CreatedBy	CreatedAt	LastUpdatedBy	LastUpdatedAt
91	145	17	1	2	1	2	9	جزامة بكونسول			12/16/2025	12/20/2025	12/19/2025 11:32:07 PM			ممكن اكلمك وقت تانى				-1	aly	12/19/2025 11:31:10 PM	aly	12/19/2025 11:32:07 PM
92	146	8	5	2	1	3	1				12/17/2025	12/18/2025				Haze bedroom				-1	maya	12/19/2025 11:58:49 PM		
104	158	17	1	1	1	1	9				12/17/2025	12/21/2025								-1	aly	12/20/2025 2:14:37 PM		
105	159	17	1	1	1	1					12/17/2025	12/18/2025				كتالوج				-1	aly	12/20/2025 2:16:22 PM		
106	160	17	1	1	1	1					12/17/2025	12/18/2025				كتالوج				-1	aly	12/20/2025 2:17:15 PM		
107	161	17	1	2	1	1	1				12/17/2025	12/18/2025				اسعار غرف النوم	ابلاغ العميل باسعار غرف النوم			-1	aly	12/20/2025 2:19:52 PM		
108	162	17	1	1	4	2	7	غرفة اطفال Custamd			12/17/2025		12/20/2025 2:25:00 PM	1	السعر عالى	السعر عالى				-1	aly	12/20/2025 2:21:56 PM	aly	12/20/2025 2:25:00 PM
109	163	17	1	1	4	2	1				12/17/2025		12/20/2025 3:02:19 PM	1	السعر عالى	السعر عالى	تم ابلاغ العميل بالسعر ومستغرب جدا			-1	aly	12/20/2025 3:01:10 PM	aly	12/20/2025 3:02:19 PM
110	166	29	1	1	4	2	3	انتريه لاكوست			12/17/2025		12/20/2025 5:59:06 PM	1	السعر عالى اوى	السعر عالى اوى				-1	admin	12/20/2025 5:57:29 PM	admin	12/20/2025 5:59:06 PM
83	137	8	2	3	1	1	2	Vine Dining room			12/18/2025					Vine Dining room				-1	maya	12/18/2025 7:47:17 AM		
84	138	17	1	1	1	1	2	Verona Dinning Room			12/18/2025	12/19/2025				سعر سفرة فيرونا				-1	aly	12/18/2025 8:00:42 AM		
85	139	17	1	1	1	1					12/18/2025					الاسعار				-1	aly	12/18/2025 8:06:08 AM		
86	140	17	1	1	4	2					12/18/2025		12/18/2025 8:10:33 AM	1		أسعارنا مش مناسبة				-1	aly	12/18/2025 8:08:18 AM	aly	12/18/2025 8:10:33 AM
93	147	29	5	5	1	1	2	فيرونا			12/18/2025	12/19/2025				سفرة فيرونا				-1	mariam	12/20/2025 12:08:59 AM		
94	148	29	2	5	1	1					12/18/2025	12/19/2025				الاسعار				-1	mariam	12/20/2025 12:10:03 AM		
95	149	8	5	2	1	1					12/18/2025	12/19/2025				الاسعار				-1	mariam	12/20/2025 12:10:57 AM		
96	150	29	5	2	1	1	2	فيرونا			12/18/2025	12/19/2025				سفرة فيرونا				-1	mariam	12/20/2025 12:20:45 AM		
97	151	29	2	2	1	4	1	نوم ماستر واطفال			12/18/2025	12/19/2025								-1	mariam	12/20/2025 12:27:32 AM		
98	152	29	2	5	1	1	2	فيرونا			12/18/2025	12/19/2025				سفرة فيرونا				-1	mariam	12/20/2025 1:00:53 PM		
99	153	29	2	5	1	1	2	Wave			12/18/2025	12/19/2025				نوم ويف				-1	mariam	12/20/2025 1:06:16 PM		
100	154	29	5	4	1	1	1				12/18/2025	12/19/2025				نوم وماستر وكورنر				-1	mariam	12/20/2025 1:08:50 PM		
101	155	21	5	4	2	2	1	نوم ماستر - دريسنج			12/18/2025	12/19/2025	12/20/2025 1:24:06 PM			تم التواصل مع العميلة وبعتت صورة دريسنج وهيتم التسعير والرد على العميلة				-1	mariam	12/20/2025 1:21:05 PM	mariam	12/20/2025 1:24:06 PM
102	156	21	5	5	1	1	2	فيرونا			12/18/2025	12/21/2025	12/20/2025 1:30:20 PM			تم التواصل مع العميل هى هشتوف الكتالوج وهى فى مدينى				-1	mariam	12/20/2025 1:28:32 PM	mmagdy	12/20/2025 1:30:20 PM
103	157	21	5	4	2	2	1	نوم ماستر			12/18/2025	12/20/2025	12/20/2025 1:41:28 PM			هى مهندسه معاها عميل عايزه غرفه نوم وهتيجى الفرع فى اقرب وقت				-1	mariam	12/20/2025 1:39:47 PM	mmagdy	12/20/2025 1:41:28 PM
112	171	21	2		1	3					12/26/2025	12/27/2025				تم التواصل و تم الارسال على الواتس و العميل هو هيتواصل معانا و سأل عن الأسعار				-1	mmagdy	12/26/2025 7:50:45 PM		
113	172	21	2		1	1	4	ركنة			12/26/2025	12/27/2025				العميل محتاج ركنة في حدود 50000 تم الارسال و في انتظار رد العميل				-1	mmagdy	12/26/2025 7:52:41 PM		
